Pin Function,"Pin
Type",Bank,"(TQ144)
144-Pin TQFP 
Pin Number"
IOL_2A,DPIO,3,1
IOL_2B,DPIO,3,2
IOL_3A,DPIO,3,3
IOL_3B,DPIO,3,4
GND,GND,GND,5
VCCIO_3,VCCIO,VCCIO,6
IOL_4A,DPIO,3,7
IOL_4B,DPIO,3,8
IOL_5A,DPIO,3,9
IOL_5B,DPIO,3,10
IOL_8A,DPIO,3,11
IOL_8B,DPIO,3,12
IOL_9A,DPIO,3,-
IOL_9B,DPIO,3,-
GND,GND,GND,13
GND,GND,GND,14
IOL_10A,DPIO,3,15
IOL_10B,DPIO,3,16
IOL_12A,DPIO,3,17
IOL_12B,DPIO,3,18
IOL_13A,DPIO,3,19
IOL_13B_GBIN7,GBIN,3,20
IOL_14A_GBIN6,GBIN,3,21
IOL_14B,DPIO,3,22
IOL_17A,DPIO,3,23
IOL_17B,DPIO,3,24
IOL_18A,DPIO,3,25
IOL_18B,DPIO,3,26
VCC,VCC,VCC,27
IOL_23A,DPIO,3,28
IOL_23B,DPIO,3,29
VCCIO_3,VCCIO,VCCIO,30
IOL_24A,DPIO,3,31
IOL_24B,DPIO,3,32
IOL_25A,DPIO,3,33
IOL_25B,DPIO,3,34
IOB_56,PIO,2,37
IOB_57,PIO,2,38
IOB_59,PIO,2,-
IOB_61,PIO,2,39
VCC,VCC,VCC,40
IOB_63,PIO,2,41
IOB_64,PIO,2,42
IOB_71,PIO,2,43
IOB_72,PIO,2,44
IOB_73,PIO,2,45
IOB_74,PIO,2,-
IOB_77,PIO,2,-
IOB_78,PIO,2,-
VCCIO_2,VCCIO,VCCIO,46
IOB_79,PIO,2,47
IOB_80,PIO,2,48
IOB_81_GBIN5,GBIN,2,49
IOB_82_GBIN4,GBIN,2,52
GNDPLL0,GNDPLL,GNDPLL,53
VCCPLL0,VCCPLL,VCCPLL,54
IOB_87,PIO,2,-
IOB_89,PIO,2,-
IOB_91,PIO,2,55
IOB_94,PIO,2,56
VCCIO_2,VCCIO,VCCIO,57
GND,GND,GND,59
IOB_95,PIO,2,60
IOB_96,PIO,2,61
IOB_102,PIO,2,62
IOB_103_CBSEL0,PIO,2,63
IOB_104_CBSEL1,PIO,2,64
CDONE,CONFIG,2,65
CRESET_B,CONFIG,2,66
IOB_105_SDO,SPI,SPI,67
IOB_106_SDI,SPI,SPI,68
GND,GND,GND,69
IOB_107_SCK,SPI,SPI,70
IOB_108_SS,SPI,SPI,71
VCC_SPI,SPI,SPI,72
IOR_109,PIO,1,73
IOR_110,PIO,1,74
IOR_111,PIO,1,75
IOR_112,PIO,1,76
NC,NC,NC,77
IOR_114,PIO,1,78
IOR_115,PIO,1,79
IOR_116,PIO,1,80
IOR_117,PIO,1,81
IOR_118,PIO,1,82
IOR_119,PIO,1,83
IOR_120,PIO,1,84
IOR_128,PIO,1,85
IOR_129,PIO,1,-
GND,GND,GND,86
IOR_136,PIO,1,87
IOR_137,PIO,1,88
VCCIO_1,VCCIO,VCCIO,89
IOR_138,PIO,1,90
IOR_139,PIO,1,91
VCC,VCC,VCC,92
IOR_140_GBIN3,GBIN,1,93
IOR_141_GBIN2,GBIN,1,94
IOR_144,PIO,1,95
IOR_146,PIO,1,96
IOR_147,PIO,1,97
IOR_148,PIO,1,98
IOR_152,PIO,1,99
IOR_154,PIO,1,-
VCCIO_1,VCCIO,VCCIO,100
IOR_160,PIO,1,101
IOR_161,PIO,1,102
GND,GND,GND,103
IOR_164,PIO,1,104
IOR_165,PIO,1,105
IOR_166,PIO,1,106
IOR_167,PIO,1,107
VPP_2V5,VPP,VPP,108
VPP_FAST,VPP,VPP,109
IOT_168,PIO,0,110
VCC,VCC,VCC,111
IOT_169,PIO,0,112
IOT_170,PIO,0,113
IOT_171,PIO,0,114
IOT_172,PIO,0,115
IOT_173,PIO,0,116
IOT_174,PIO,0,117
IOT_177,PIO,0,118
IOT_178,PIO,0,119
IOT_179,PIO,0,120
IOT_181,PIO,0,121
IOT_186,PIO,0,-
IOT_188,PIO,0,-
IOT_190,PIO,0,122
VCCIO_0,VCCIO,VCCIO,123
IOT_191,PIO,0,124
IOT_192,PIO,0,125
VCCPLL1,VCCPLL,VCCPLL,126
GNDPLL1,GNDPLL,GNDPLL,127
IOT_197_GBIN1,GBIN,0,128
IOT_198_GBIN0,GBIN,0,129
IOT_200,PIO,0,-
IOT_202,PIO,0,-
IOT_206,PIO,0,130
IOT_207,PIO,0,-
IOT_208,PIO,0,-
IOT_211,PIO,0,-
VCCIO_0,VCCIO,VCCIO,131
GND,GND,GND,132
IOT_212,PIO,0,134
IOT_213,PIO,0,135
IOT_214,PIO,0,136
IOT_215,PIO,0,137
IOT_216,PIO,0,138
IOT_217,PIO,0,139
GND,GND,GND,140
IOT_219,PIO,0,141
IOT_220,PIO,0,142
IOT_221,PIO,0,143
IOT_222,PIO,0,144
IOT_223,PIO,0,-
IOT_225,PIO,0,-
VCC,VCC,VCC,-
NC,NC,NC,35
NC,NC,NC,36
NC,NC,NC,50
NC,NC,NC,51
NC,NC,NC,58
NC,NC,NC,133
GND,GND,GND,-
GND,GND,GND,-
GND,GND,GND,-
GND,GND,GND,-
VCCIO_3,VCCIO,VCCIO,-
IOB_86,PIO,2,-
